Size,Bedrooms,Bathrooms,Location,Price
1360,5,3,City Centre,349019.01074356225
1794,3,1,Rural Area,277390.42088428803
1630,1,2,Rural Area,251406.30633631378
1595,2,1,Suburbs,283793.8084161237
2138,3,3,City Centre,342784.76942482684
2669,1,2,City Centre,383239.59837144095
966,2,3,City Centre,253915.6657172225
1738,3,3,City Centre,350262.4755821375
830,3,2,City Centre,230487.52703992283
1982,3,2,Rural Area,321429.0543124299
2635,4,1,Rural Area,388695.36537248566
630,5,2,City Centre,232932.52861697748
2185,1,1,Rural Area,242188.41819553328
1269,5,2,Rural Area,307364.2811983413
2891,5,3,City Centre,481797.5427995407
2015,5,1,Rural Area,368017.71015442983
2933,3,2,City Centre,428495.72229944484
1715,5,1,Rural Area,340033.87366852997
1455,4,1,City Centre,292085.3655448658
2824,2,1,City Centre,358198.33006416046
1684,3,3,Rural Area,328999.0899686809
959,1,2,Rural Area,195478.22452227806
521,2,2,Suburbs,137583.70555830342
2800,2,1,City Centre,402896.5125292043
1247,2,2,City Centre,238734.12623630342
974,5,3,City Centre,305112.60796662327
1582,5,1,City Centre,322314.21128745674
2547,3,3,Rural Area,374095.9315745091
1475,5,3,Rural Area,347510.37479516794
2306,5,2,Suburbs,420528.1486704737
689,5,2,City Centre,272310.89573166694
1062,3,1,Suburbs,249578.85402016976
2399,3,3,Suburbs,418866.3357907511
1767,4,2,Suburbs,351426.9210722801
2028,4,1,Suburbs,337967.090461157
1146,4,1,Suburbs,250239.43976463028
2568,4,2,Rural Area,436578.7576257853
2714,2,3,Rural Area,398632.05056587275
1797,2,1,Suburbs,295296.71900533454
2935,4,2,Rural Area,487686.8027684918
1100,4,1,Rural Area,242641.60202536412
2863,1,2,Suburbs,400866.0282095991
2561,2,1,Rural Area,345039.2770022932
741,1,3,Rural Area,200828.05620543638
2541,1,1,City Centre,371373.86114229436
1863,5,2,Suburbs,393075.25317540806
2639,3,2,City Centre,396197.9675263867
1890,2,2,City Centre,340474.6613666606
1978,4,3,Suburbs,368304.89836230315
1275,4,2,City Centre,333269.50015142676
534,3,2,City Centre,194048.4225719306
2753,2,3,Rural Area,423556.60183385265
2455,4,2,City Centre,418148.73579377437
2085,4,2,Suburbs,346621.60415033554
1521,5,3,Rural Area,374625.32418341184
1629,1,1,Rural Area,252290.88019249745
2000,4,2,Rural Area,348882.01804012124
1202,2,1,Suburbs,210174.1275862413
2949,3,3,Suburbs,437846.1347893685
2079,5,2,Suburbs,386360.95970576984
661,2,2,City Centre,164755.91640267632
701,5,3,City Centre,248772.30256519475
2481,1,2,Rural Area,313536.87319355353
1495,4,1,Rural Area,278314.2436825317
2817,2,1,Suburbs,413987.52188394446
1315,3,3,Suburbs,310525.320864213
955,1,2,City Centre,200901.20719781797
1775,1,2,City Centre,319626.2866398079
1516,5,3,Suburbs,370896.784258756
2843,1,1,Suburbs,377994.1099862806
837,2,1,City Centre,199570.08561515287
1378,5,3,Rural Area,334575.84074850444
1576,1,2,Rural Area,232412.85016262095
1291,3,1,City Centre,248769.8558222407
2764,2,2,City Centre,344508.11232809967
1263,3,1,Rural Area,229412.42970830397
2735,3,2,City Centre,441259.7633673211
879,5,1,Rural Area,254448.4472388343
992,4,2,Rural Area,237877.7224653489
1680,5,3,City Centre,373540.6574683944
2562,2,1,Suburbs,373287.3063173894
564,2,3,Suburbs,222241.29716463375
1867,5,1,Suburbs,387265.6166329061
1652,4,1,Suburbs,325824.47060944
2527,5,1,Suburbs,387407.3995861633
1995,2,2,Suburbs,365107.213069843
1662,4,1,Suburbs,338267.69979143725
2022,2,3,City Centre,354183.9588900978
891,4,2,City Centre,248766.54659634555
2198,4,2,Suburbs,348803.16338184546
918,5,1,City Centre,245599.43051285483
2836,5,2,Rural Area,462581.75274512917
878,5,1,Suburbs,244781.94524047544
2296,4,3,Rural Area,426469.12186156865
2778,4,2,City Centre,436269.57586864627
2588,2,2,Suburbs,363266.68209743255
2682,3,3,Rural Area,433214.5116135665
700,5,3,City Centre,248415.53160588138
2363,2,1,Suburbs,308665.34006882075
1279,2,2,Suburbs,258088.69779663786
1002,1,3,Rural Area,213750.0490036473
2954,5,2,Rural Area,478536.3766208133
2251,2,3,Rural Area,387624.7108145933
1304,1,2,City Centre,235419.6799469424
2646,5,3,Rural Area,470983.87847051414
2395,4,2,Rural Area,399843.16216530045
2070,1,1,Rural Area,308199.5534393096
1460,4,2,Suburbs,263354.07928304083
1985,3,1,Rural Area,308012.9802588138
1528,3,1,Rural Area,270076.7453018443
1002,3,1,City Centre,215611.31248050486
897,3,2,City Centre,213867.73944016517
1370,2,2,Rural Area,255360.28142290356
892,3,1,City Centre,211486.41129183176
706,2,3,City Centre,203950.1420410536
1538,2,2,City Centre,277809.1700398955
2381,5,2,Suburbs,428055.81339350145
1984,2,2,Rural Area,302880.8503155204
1363,2,2,Rural Area,245853.12073213625
1063,3,1,Rural Area,249754.58139745423
1520,2,3,City Centre,268161.1100993607
595,4,3,City Centre,218341.16529824294
2423,3,3,City Centre,381840.6900617822
2257,1,3,Suburbs,336702.3387965729
2778,3,1,City Centre,422762.72072441096
2178,2,2,Suburbs,348277.97542112676
1040,4,2,Rural Area,246541.3796471347
1559,3,1,City Centre,317164.6641438332
1683,4,2,Suburbs,314387.0429705306
2222,1,1,Suburbs,274775.5403571981
2319,1,3,City Centre,383383.788342331
2097,5,1,Suburbs,357962.9609997799
1295,5,2,City Centre,307281.9341783718
1551,3,2,Suburbs,292420.30718322133
2143,5,2,Rural Area,405935.08274333604
1863,4,3,Rural Area,324560.49573739356
2481,5,1,Rural Area,407086.2587160505
1854,4,1,City Centre,323064.5913031602
2163,5,2,Rural Area,424574.23581549944
2029,5,1,Rural Area,357028.81957310205
2538,5,2,Rural Area,427385.2175162732
1996,2,1,City Centre,319803.190603492
2737,2,3,Suburbs,418928.00127173937
1908,5,3,City Centre,371319.1359148833
1900,4,1,City Centre,343568.12185196433
1806,3,3,Rural Area,320852.42898415896
1472,1,3,Suburbs,278264.6611246953
2268,2,3,Rural Area,358595.5305788916
1782,5,2,Rural Area,333067.01668412116
1209,1,1,City Centre,163033.58724440075
1979,2,1,City Centre,295379.63523741055
1934,3,2,City Centre,317726.0620909803
1148,4,2,Rural Area,270007.59036990645
817,5,3,Suburbs,275715.0845452236
1757,3,1,Suburbs,262425.0623026067
1183,2,2,Rural Area,223702.54042485062
1163,5,3,Suburbs,308712.6439986585
2498,1,1,Rural Area,336800.93357733934
2131,4,3,Suburbs,404064.56539308734
1995,2,1,Rural Area,323910.90414173494
1636,4,3,Suburbs,333826.96136759385
2353,5,1,City Centre,397342.4786811181
2020,3,1,City Centre,317386.43352683936
2989,4,1,City Centre,457015.05413307174
1063,1,1,City Centre,183609.75856908804
1791,2,3,Rural Area,294763.57445130975
2136,1,2,Suburbs,280349.9277260149
1198,4,1,Rural Area,245849.88216017222
2660,3,1,City Centre,385682.60094226565
501,3,1,Suburbs,194691.15231606213
1141,1,1,Rural Area,200010.26725695803
2767,5,3,City Centre,473989.6742052683
2089,5,2,Suburbs,388967.47095661325
1354,3,2,Suburbs,300996.33937615505
2259,1,2,City Centre,336057.2661442389
2932,1,3,City Centre,407905.760802056
2161,1,2,Suburbs,304126.67638644343
1653,4,3,City Centre,315090.1283465743
1576,5,3,Rural Area,385649.06292860257
2207,5,1,City Centre,401772.3609257032
2195,4,3,City Centre,390632.0372210884
2233,2,2,City Centre,379179.1436143244
1939,4,2,Suburbs,353747.4544216508
2794,1,2,Suburbs,363065.0670852003
1335,4,1,City Centre,302933.2316655776
702,1,1,Suburbs,129580.18489840401
622,3,1,City Centre,179182.05274863864
900,1,3,Rural Area,180986.86557455303
1266,5,2,Suburbs,290613.00107726315
793,4,3,City Centre,258296.60191761694
2827,1,3,Suburbs,404443.8140998235
697,2,2,Rural Area,167656.15372285148
2430,3,1,Rural Area,404183.2032413254
2691,2,2,City Centre,347317.2515634872
1108,2,3,Suburbs,248391.4175865766
1647,2,3,Rural Area,302803.034519642
686,3,1,Suburbs,198869.6502125392
2294,3,3,City Centre,401986.5805309654
1159,3,3,Rural Area,209910.04748157054
2455,3,2,Rural Area,370018.99139952386
2950,2,1,Suburbs,403025.3573020609
1869,5,2,Rural Area,400961.53573252895
2486,5,2,City Centre,416963.5950232596
2034,3,2,City Centre,339551.9372284865
646,4,3,Rural Area,254109.16596187817
2234,1,3,City Centre,314208.71563810145
2343,4,1,Rural Area,379748.9114717681
988,4,3,Rural Area,271697.3042496866
2459,4,1,Rural Area,378715.54005262343
2163,5,2,Rural Area,406360.81481159024
2885,1,2,Suburbs,431638.3052768577
1140,4,3,Rural Area,292474.2354868109
2302,3,3,City Centre,340501.8966997519
2469,5,1,Suburbs,394477.66429542453
2698,3,3,City Centre,454386.1887217695
1938,3,3,Rural Area,344009.1801065155
2134,4,3,City Centre,364941.5675950848
762,3,2,Suburbs,231290.97449563956
2287,1,3,City Centre,330926.65294950706
2691,3,3,Suburbs,424801.1372710156
2893,4,2,Rural Area,426665.9576571511
1123,3,2,Rural Area,243938.80272993015
1516,5,2,City Centre,330996.94275437674
1380,5,2,City Centre,315984.1914419284
2549,5,3,Rural Area,457392.9598510469
1827,2,3,Rural Area,321724.14077917096
2801,5,3,City Centre,454730.6119567591
952,5,1,Rural Area,293916.3397275397
1683,2,2,Suburbs,285164.5948888101
2556,5,3,Suburbs,423589.23462152306
2182,4,3,City Centre,348753.6817350341
2755,5,3,City Centre,472003.646619705
1654,5,2,Rural Area,326874.6865747344
903,2,2,Rural Area,221756.1025405434
2699,4,2,Suburbs,430867.1915893046
2601,3,3,City Centre,493870.05954165163
2196,1,2,City Centre,294382.74144633807
1127,4,3,City Centre,308853.7347370311
1086,3,1,City Centre,211808.0329384422
2148,4,2,Suburbs,391419.13633302506
1943,3,2,Suburbs,362762.4286183413
1945,3,3,City Centre,342612.2310727102
603,4,2,Suburbs,205715.97422293728
753,2,2,City Centre,192168.35863590514
1996,4,3,Suburbs,359739.8884025857
598,4,3,Rural Area,267012.30735245626
2700,3,3,Suburbs,421048.4084269079
2384,1,1,City Centre,332190.6267393152
2419,3,3,Rural Area,406277.75749241
1377,5,2,City Centre,335543.772935199
837,4,1,Rural Area,219659.78563640232
1456,4,3,Rural Area,335947.6796019723
2204,2,1,Suburbs,351427.46458915086
660,3,1,Suburbs,187886.44129326142
2103,2,2,Rural Area,303640.04527638596
897,4,1,Rural Area,262071.89606405032
1800,3,3,Rural Area,338472.811831008
1315,3,1,City Centre,256583.97240658035
2027,5,1,Suburbs,381235.2499199533
2419,5,2,City Centre,450483.6293615568
1915,1,2,Suburbs,287060.4395511349
1658,5,3,City Centre,385912.8325484591
1718,3,2,Suburbs,313242.0627296705
900,5,3,Rural Area,297476.07069921016
1139,1,3,Rural Area,216761.16417937228
959,4,2,Suburbs,250823.49766218892
1454,5,1,Rural Area,332093.52972170676
969,3,2,Rural Area,197612.80277542325
1545,4,1,City Centre,313508.95137978793
2193,3,1,Suburbs,351890.42012087
2585,4,3,Rural Area,466720.45815024315
2777,3,3,Suburbs,452821.9576446246
1062,5,2,City Centre,289737.0759020236
2985,5,1,Suburbs,438063.20467997494
2299,1,2,City Centre,318288.3697425582
2574,4,3,City Centre,427861.59627506585
725,1,1,City Centre,187340.4938991546
1297,2,2,Rural Area,265715.34413245774
2831,5,2,City Centre,447199.33044088294
1459,4,3,Suburbs,328956.18211940763
2004,1,3,Suburbs,306224.65968340286
952,1,3,Rural Area,197283.64797716893
1315,2,3,Rural Area,279071.38077186374
1158,1,2,City Centre,212911.76318548535
1046,3,3,City Centre,236314.77152984132
1715,5,3,City Centre,383038.6405146059
516,1,2,Rural Area,154640.03325593646
1743,1,2,Rural Area,266972.92207531875
2705,2,1,Suburbs,405349.4075512935
1569,3,2,City Centre,318182.4838294055
2646,1,1,City Centre,352031.9530351654
2268,5,3,Suburbs,387561.21985261916
1560,5,1,Suburbs,343210.4819949166
2827,1,1,Suburbs,358031.5779088381
801,3,3,Suburbs,231942.57760922363
680,5,3,City Centre,256945.46021190262
1106,5,3,Rural Area,279687.7696201937
1199,3,1,City Centre,253950.12321185807
1492,3,2,Suburbs,272346.5951337983
1639,1,2,Rural Area,271913.7365368229
690,4,2,City Centre,210278.53568728705
2800,2,3,Suburbs,405913.14161633176
1480,4,3,Rural Area,330302.3313712642
2506,4,2,Rural Area,413071.17021519813
1684,5,3,Rural Area,375834.0834446343
627,3,1,City Centre,201644.41570040738
2565,5,1,Suburbs,448146.5654768281
2316,2,3,City Centre,366585.10369886964
2258,1,2,City Centre,349939.5827601841
1069,2,2,City Centre,220451.90191968944
1846,5,1,Rural Area,365157.2441279705
2395,5,3,Suburbs,456971.27931657725
1125,5,2,City Centre,314895.95134290465
2186,5,2,Suburbs,369423.80657015234
654,4,3,Rural Area,177500.75354071247
1909,1,3,City Centre,317001.6201540128
1284,4,2,Suburbs,288450.31030969915
745,5,3,Rural Area,275108.3217887416
2000,3,3,City Centre,356833.4019800735
2205,4,3,City Centre,388715.2140781389
1037,5,2,Suburbs,295151.67876335024
2390,5,1,Suburbs,410778.8585135931
2341,1,3,City Centre,347003.9203081726
1420,2,2,City Centre,262578.75742426567
2955,4,1,Rural Area,452837.9055632222
1024,4,2,Rural Area,250516.39525054742
2029,4,2,City Centre,340665.6494830228
535,5,2,Suburbs,210957.29006620098
1184,1,1,Suburbs,193228.68414593523
519,5,2,City Centre,261588.88638499702
2868,5,1,Rural Area,454455.3882338074
899,3,3,City Centre,231319.60140606103
